# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 13:32:45 UTC 2021 [seed=1613482363722]
# bears_aligned_ccs.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
41000	-30331.17561821957	-77.03835054123807	-30254.137267678332	1269850.6115990938	1269850.6115990938	3738255.5487029906	676439.8806110292	50.50178549131558	0.3136422025366127	0.2563832839869958	0.14786386004251523	0.2821106534338759	0.1614248758151751	2.8292610329339806E-8	2.8292610329339802E-8	-30254.137267678332	0.0	-73.55878213119905
42000	-30331.497124187943	-77.50533807979878	-30253.991786108145	1169810.243135827	1169810.243135827	3622304.2858567014	688972.7196224979	56.00444649105479	0.3136422025366127	0.2563832839869958	0.14786386004251523	0.2821106534338759	0.1797038707100316	2.6966968113975214E-8	2.6966968113975217E-8	-30253.991786108145	0.0	-73.68692172790489
43000	-30334.568728270908	-78.03966479926046	-30256.529063471648	1223290.8733007065	1223290.8733007065	3701864.618407812	1170508.6013216882	58.33364282311968	0.3110438355465494	0.25358477633497156	0.1546520475422918	0.28071934057618686	0.16556568781269076	2.6556983485927183E-8	2.6556983485927183E-8	-30256.529063471648	0.0	-73.61724977728494
44000	-30328.484019204952	-77.7081222711176	-30250.775896933836	1253509.264270345	1253509.264270345	3828837.553403784	713457.2580055265	54.08868293888386	0.3142336833333651	0.25517946302232974	0.15012860534495134	0.2804582482993535	0.20625096558611744	2.776326831381363E-8	2.776326831381363E-8	-30250.775896933836	0.0	-73.90805994202995
45000	-30329.498031075986	-77.36824096547919	-30252.129790110506	1126275.4660462134	1126275.4660462134	3410875.804977515	584230.0984705667	58.043329123178275	0.3094730946125088	0.25697584468307716	0.14652696207853	0.2870240986258838	0.24603320917452198	3.0234548140071556E-8	3.0234548140071556E-8	-30252.129790110506	0.0	-73.3839654974253
46000	-30334.980464501237	-77.56587027714721	-30257.41459422409	1186413.986827332	1186413.986827332	3595177.0605846317	841446.4487242119	52.94594064525307	0.3142802984635623	0.25686181127604196	0.14961039014815275	0.27924750011224275	0.36365631161888207	2.6402068949953832E-8	2.6402068949953832E-8	-30257.41459422409	0.0	-73.3531084791292
47000	-30331.69900038831	-76.9975481362757	-30254.701452252037	1086690.436004082	1086690.436004082	3343896.7351807714	669316.8668817797	53.033632465022066	0.3167792605678545	0.25686181127604196	0.14711142804386057	0.27924750011224275	0.26244077811100514	2.9216843274434905E-8	2.9216843274434905E-8	-30254.701452252037	0.0	-73.12162389867287
48000	-30332.86471364944	-77.20040950920179	-30255.66430414024	1140588.736678545	1140588.736678545	3483603.3624804383	656485.4379147476	52.538606662057376	0.3167792605678545	0.2469183689483425	0.14831482375122576	0.287987546732577	0.27252181191144176	2.9104312041724748E-8	2.9104312041724744E-8	-30255.66430414024	0.0	-73.36956640335586
49000	-30339.736927565507	-78.74399092238944	-30260.992936643117	1333544.6754073035	1333544.6754073035	4095156.2319255704	971562.1298123879	58.281387498041994	0.3194506881255484	0.2479932576240599	0.14550292043234914	0.28705313381804237	0.40305114449304286	2.522903006835161E-8	2.5229030068351615E-8	-30260.992936643117	0.0	-74.10667437842747
50000	-30337.93616786843	-77.36386091350597	-30260.572306954924	1186502.0113927743	1186502.0113927743	3619279.1899103383	586424.9584074544	46.694400760576215	0.3194506881255484	0.2470891786146282	0.1454746216979116	0.2879855115619116	0.35454244665338297	2.846734422146663E-8	2.8467344221466634E-8	-30260.572306954924	0.0	-73.84734330299455
51000	-30339.009965608813	-78.18546411286017	-30260.824501495954	1300002.9009015174	1300002.9009015174	3916692.302126014	997714.5253138004	56.708696411510324	0.3194506881255484	0.2470891786146282	0.1454746216979116	0.2879855115619116	0.3165125977011845	2.5306716735796245E-8	2.530671673579624E-8	-30260.824501495954	0.0	-73.75582563477766
52000	-30336.483392683804	-78.5100763706978	-30257.973316313106	1149460.6383470155	1149460.6383470155	3523180.6670487425	1057806.984233161	66.4258139008441	0.3186340202021376	0.25669733120397953	0.14840506145026522	0.27626358714361743	0.32760826768807544	2.7467423372975423E-8	2.746742337297543E-8	-30257.973316313106	0.0	-73.43453400908658
53000	-30332.634193941994	-77.39423088937025	-30255.239963052623	1229512.184566561	1229512.184566561	3655140.8899652823	592631.8162191743	53.99638162935983	0.31784938027326065	0.25274690055863	0.14840506145026522	0.2809986577178439	0.22206517285433405	2.822849834257411E-8	2.822849834257411E-8	-30255.239963052623	0.0	-73.72466486370405
54000	-30330.983214995143	-76.83769997131058	-30254.145515023833	1144291.3673337474	1144291.3673337474	3419276.3430438996	500522.80243261287	49.09308243763415	0.3154327631513393	0.2471680292986292	0.1493154561592633	0.288083751390768	0.18303205011730192	3.0278039660670986E-8	3.0278039660670986E-8	-30254.145515023833	0.0	-73.62077776479613
55000	-30333.373223908868	-77.89331815230076	-30255.479905756565	1382667.1617214894	1382667.1617214894	4158906.4131793077	809745.6992796798	53.169340938783876	0.3190867633770253	0.2520684251190834	0.1444150603388091	0.28442975116508196	0.17252518654382631	2.6594056152635358E-8	2.6594056152635355E-8	-30255.479905756565	0.0	-74.14252782451479
56000	-30332.275287393117	-77.93918473396361	-30254.336102659152	1259380.138812172	1259380.138812172	3838123.9000245277	713024.0530433918	61.8922122237657	0.3190867633770253	0.2520684251190834	0.1532120544503291	0.275632757053562	0.14064322515325264	2.7539410141628357E-8	2.7539410141628353E-8	-30254.336102659152	0.0	-73.87827567535747
57000	-30335.608213017193	-78.08537928501622	-30257.522833732175	1320999.3742232511	1320999.3742232511	3987010.040305355	1002800.3406385498	57.50941812167464	0.3149511494217658	0.25873898809893947	0.15466363089085175	0.27164623158844275	0.2103002229409015	2.602390488438616E-8	2.602390488438616E-8	-30257.522833732175	0.0	-73.81202127048383
58000	-30342.73007173254	-79.48138693064709	-30263.248684801896	1705286.658009821	1705286.658009821	5236590.649091175	1406350.6553331213	51.69784263565445	0.3107530786907888	0.26124542672166284	0.1521571922681284	0.27584430231941975	0.21192753299019945	2.1006588736434994E-8	2.100658873643499E-8	-30263.248684801896	0.0	-75.41471703093558
59000	-30332.862075387435	-78.04875453666338	-30254.81332085077	1332429.6047268463	1332429.6047268463	4109861.54102989	952108.4766132558	51.68505727065726	0.3130149539784203	0.2575303855356287	0.1521571922681284	0.2772974682178224	0.2457971522812078	2.5621627041067026E-8	2.5621627041067022E-8	-30254.81332085077	0.0	-74.0893940185725
60000	-30330.2556204564	-77.40763881206841	-30252.84798164433	1050596.787151441	1050596.787151441	3225881.9873835733	427353.42584178643	53.331646888140874	0.3173552625685694	0.25322754985570006	0.14643343658686508	0.2829837509888652	0.23362106060385918	3.1913627034211595E-8	3.19136270342116E-8	-30252.84798164433	0.0	-73.95437132683324
61000	-30330.861014878115	-78.43900254311545	-30252.422012335	1241029.23653176	1241029.23653176	3718733.898787014	975354.9916201917	71.21364197336585	0.3169321111843829	0.2552471143977866	0.14862957732755916	0.27919119709027107	0.22065846082109716	2.7417308670150166E-8	2.741730867015017E-8	-30252.422012335	0.0	-73.46773668551008
