# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 14:09:02 UTC 2021 [seed=1613484541067]
# ../xml/bears_aligned_ccs_root.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
45000	-30344.64972885572	-91.74796284079625	-30252.901766014922	1266002.3111656061	1266002.3111656061	3856018.1147558503	992631.4244001543	52.40533839012029	0.3152749614699911	0.2541039656616941	0.14908658155424193	0.28153449131407315	0.27743069992970953	2.5849200838574688E-8	2.5849200838574694E-8	-30252.901766014922	0.0	-73.76122004128851
46000	-30346.09490589297	-92.018222588183	-30254.076683304786	1193353.780596336	1193353.780596336	3695469.7684953	626329.2837664128	57.29600002701925	0.3202100545036112	0.2514593600361836	0.15003253613761586	0.27829804932258967	0.2286674379349362	2.7433203262381465E-8	2.7433203262381465E-8	-30254.076683304786	0.0	-73.97379115588436
47000	-30345.47842948224	-91.85091111326926	-30253.62751836897	1286269.0455177838	1286269.0455177838	3922898.6349282083	619880.89927226	54.01755157529293	0.3123705807156848	0.260169240273323	0.15003253613761586	0.2774276428733766	0.25068589955447595	2.6779130708970054E-8	2.6779130708970057E-8	-30253.62751836897	0.0	-74.35671955581846
48000	-30347.427963215127	-93.67488041313909	-30253.753082801988	1406196.591966454	1406196.591966454	4282409.736609095	472504.7513048179	63.476957174965186	0.31467853348994257	0.258293125965261	0.15002955486484632	0.2769987856799504	0.24127052492060455	2.4607294440322022E-8	2.4607294440322022E-8	-30253.753082801988	0.0	-76.37448949000772
49000	-30348.417508128696	-91.97932463704355	-30256.438183491653	1206249.7560779273	1206249.7560779273	3546944.308361981	567722.8994663819	70.93182487228894	0.3175107089005614	0.2568288605607472	0.15002955486484632	0.27563087567384537	0.1471614898853221	3.022877930691752E-8	3.022877930691752E-8	-30256.438183491653	0.0	-73.53596094836179
50000	-30348.13840846435	-91.98446467542138	-30256.15394378893	1221821.893878799	1221821.893878799	3687750.649171926	893190.2803838071	65.63626731867384	0.320202970785513	0.2492293556895809	0.1478252693709462	0.2827424041539602	0.11880616512967479	3.064089558526042E-8	3.064089558526042E-8	-30256.15394378893	0.0	-73.45752257728338
51000	-30348.002617829545	-92.86437599252228	-30255.138241837023	1322158.8250194548	1322158.8250194548	3995109.9276474947	969634.4788540992	80.9523985217829	0.31971368878318274	0.25056207805638553	0.1480246210882986	0.2816996120721335	0.21815491125914827	2.5687390012708914E-8	2.568739001270891E-8	-30255.138241837023	0.0	-73.8998165570441
52000	-30347.51873909843	-93.03046082095327	-30254.488278277477	1270851.0347923588	1270851.0347923588	3803466.329215913	1221288.6134743942	79.48150231352115	0.31215240514781883	0.2560470969494999	0.15422974014702068	0.277570757755661	0.16586416266092882	2.7910978298683395E-8	2.791097829868339E-8	-30254.488278277477	0.0	-73.76446610736275
53000	-30347.218212468404	-93.0115513710656	-30254.206661097338	1189810.6653666543	1189810.6653666543	3656509.87650148	1357137.5048151757	62.95162074797137	0.30519448189594256	0.25608589327309095	0.15422974014702068	0.2844898846839462	0.21370374443383844	2.8776408502305013E-8	2.8776408502305013E-8	-30254.206661097338	0.0	-73.89342989666955
54000	-30343.746832326364	-91.95728496138732	-30251.789547364977	1251884.5569850882	1251884.5569850882	3829951.8899382064	1108888.6297864132	54.313358473607074	0.31283121845094886	0.2559981572419652	0.1482043816632379	0.28296624264384845	0.19351907418088493	2.805555688848953E-8	2.8055556888489526E-8	-30251.789547364977	0.0	-73.81885290798212
